fid,tariff,lon,lat,cl,plot_name,plot_class,USE,GUD_CAT,CONF,EVIDENCE
4758,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4759,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4760,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4761,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4762,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4763,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4764,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4765,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4766,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4767,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4768,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4770,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4771,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4997,CRT Seasonal,56.514014,23.217527,-1,CRT Seasonal,Agricultural,Religious,government,Likely,مصلى النساء [building=yes] 19m
5023,CRT Time of Use,56.511372,23.217451,-1,Primary Account Tariff,Residential-Commercial,Unresolved,CRT_review,Guessing,AL Modhar: no POI within 80 m
5025,CRT Seasonal,56.511372,23.217451,-1,Primary Account Tariff,Residential-Commercial,Unresolved,CRT_review,Guessing,AL Modhar: no POI within 80 m
5107,CRT Seasonal,56.497804,23.2408,-1,CRT Seasonal,Residential,Religious,government,Likely,? [amenity=place_of_worship] 79m
5547,CRT Time of Use,56.547826,23.277814,71,CRT Time of Use,Residential,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
5598,CRT Seasonal,56.50043,23.235865,154,Primary Account Tariff,Proposed,Unresolved,CRT_review,Guessing,"Al Orobah, Ibri Road, Proposed plots"
5599,CRT Seasonal,56.50043,23.235865,154,Primary Account Tariff,Proposed,Unresolved,CRT_review,Guessing,"Al Orobah, Ibri Road, Proposed plots"
5600,CRT Seasonal,56.50043,23.235865,154,Primary Account Tariff,Proposed,Unresolved,CRT_review,Guessing,"Al Orobah, Ibri Road, Proposed plots"
5632,CRT Seasonal,56.477011,23.214112,126,CRT Seasonal,Agricultural,Commercial,non_domestic,Likely,"Morgan Muscat Bakery and Market, Hellat Al Nahadah (OSM 18 m)"
5633,CRT Seasonal,56.477011,23.214112,126,CRT Seasonal,Agricultural,Commercial,non_domestic,Likely,"Morgan Muscat Bakery and Market, Hellat Al Nahadah (OSM 18 m)"
5634,CRT Seasonal,56.477011,23.214112,126,CRT Seasonal,Agricultural,Commercial,non_domestic,Likely,"Morgan Muscat Bakery and Market, Hellat Al Nahadah (OSM 18 m)"
5635,CRT Seasonal,56.477011,23.214112,126,CRT Seasonal,Agricultural,Commercial,non_domestic,Likely,"Morgan Muscat Bakery and Market, Hellat Al Nahadah (OSM 18 m)"
5859,CRT Seasonal,56.49799,23.240188,-1,CRT Seasonal,Residential,Religious,government,Likely,? [amenity=place_of_worship] 69m
5918,CRT Seasonal,56.478611,23.204681,-1,CRT Seasonal,Agricultural,Education,government,Likely,مركز الوفاء لتأهيل الأطفال المعاقين [amenity=school] 26m
6584,CRT Seasonal,56.548523,23.277596,71,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
6585,CRT Seasonal,56.548523,23.277596,71,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
6586,CRT Seasonal,56.548523,23.277596,71,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
6587,CRT Seasonal,56.548523,23.277596,71,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
6588,CRT Seasonal,56.548523,23.277596,71,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
6786,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6787,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6788,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6789,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6790,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6791,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6792,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6793,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6794,CRT Time of Use,56.554294,23.291291,65,CRT Time of Use,Agricultural,Agricultural,agricultural,Likely,"Aynayn farms, agricultural plots, Time-of-Use tariff = pumping (Google sat)"
6896,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6897,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6898,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6899,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6901,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6902,CRT Time of Use,56.525399,23.259777,58,Government,Agricultural,Government,government,Guessing,"Al Ghabbi, health complex / chamber of commerce compound near Lulu north (Google label)"
6969,CRT Seasonal,56.474698,23.143052,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Tanaam (no POI within 80 m)"
7506,CRT Seasonal,56.560898,23.302439,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot,  (no POI within 80 m)"
7730,CRT Seasonal,56.545789,23.287204,-1,CRT Seasonal,Agricultural,Telecom/Utility,non_domestic,Likely,? [man_made=tower;building=yes] 36m
7831,CRT Seasonal,56.514334,23.242372,-1,CRT Seasonal,Residential,Education,government,Likely,? [amenity=school] 32m
7832,CRT Seasonal,56.516854,23.229354,-1,CRT Seasonal,Agricultural,Education,government,Guessing,"مدرسة عمــار بن ياسر للتعليم الاساسي للبنين5-8 (school, Nominatim)"
7849,CRT Seasonal,56.605195,23.318452,-1,CRT Seasonal,Residential-Commercial,Unresolved,CRT_review,Guessing,Ad Dariz: no POI within 80 m
8117,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8118,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8119,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8120,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8121,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8122,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8123,CRT Seasonal,56.549269,23.278973,70,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
8221,CRT Seasonal,56.611168,23.323851,-1,Commercial,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Ad Dariz (no POI within 80 m)"
8437,CRT Seasonal,56.511491,23.240766,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Silmi (no POI within 80 m)"
8443,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8444,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8445,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8446,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8447,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8448,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8449,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8450,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8451,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8452,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8453,CRT Seasonal,56.515908,23.223156,96,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Al Murtafa, dual carriageway frontage, walled compound (Google sat)"
8494,CRT Seasonal,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8495,CRT Seasonal,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8496,CRT Seasonal,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8499,CRT Time of Use,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8501,CRT Seasonal,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8508,CRT Seasonal,56.550479,23.282436,69,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
8705,CRT Seasonal,56.55328,23.278593,67,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Araqi strip, road D618 (Nominatim)"
8706,CRT Seasonal,56.55328,23.278593,67,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Araqi strip, road D618 (Nominatim)"
8707,CRT Seasonal,56.55328,23.278593,67,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Araqi strip, road D618 (Nominatim)"
8712,CRT Seasonal,56.55328,23.278593,67,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Araqi strip, road D618 (Nominatim)"
8713,CRT Seasonal,56.55328,23.278593,67,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"Araqi strip, road D618 (Nominatim)"
8759,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8760,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8761,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8762,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8763,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8764,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8765,CRT Seasonal,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8766,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8767,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8768,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8769,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8770,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8771,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8772,CRT Time of Use,56.543115,23.273897,64,CRT Time of Use,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8773,CRT Time of Use,56.543205,23.273795,64,Government,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8774,CRT Seasonal,56.543205,23.273795,64,Government,Residential,Commercial,non_domestic,Likely,Shop strip along Al Ghabbi dual carriageway (Google sat)
8872,CRT Time of Use,56.558695,23.297401,-1,CRT Time of Use,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Aynayn (no POI within 80 m)"
9093,CRT Seasonal,56.418773,23.246161,-1,CRT Seasonal,Agricultural,Government,government,Guessing," (stadium, Nominatim)"
9094,CRT Time of Use,56.418773,23.246161,-1,CRT Seasonal,Agricultural,Government,government,Guessing," (stadium, Nominatim)"
9114,CRT Time of Use,56.454892,23.22112,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
9115,CRT Time of Use,56.454892,23.22112,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
9116,CRT Time of Use,56.454892,23.22112,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
9117,CRT Time of Use,56.454892,23.22112,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
9118,CRT Time of Use,56.454892,23.22112,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
9230,CRT Seasonal,56.495041,23.216813,139,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Al Hashar Automotive, Al-huad Pharmacy, Muscat Bank, Oman Oil (OSM)"
9286,CRT Time of Use,56.48747,23.217121,-1,CRT Time of Use,Residential,Commercial,non_domestic,Likely,رمال الظاهرة لغسيل السيارات [amenity=car_wash] 35m
9309,CRT Seasonal,56.491746,23.217225,138,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,"Photographer, Muscat Pharmacy, Ibri Road (OSM)"
9311,CRT Time of Use,56.49034,23.217784,137,CRT Time of Use,Residential-Commercial,Commercial,non_domestic,Certain,"Makkah Hypermarket, Ramez Hypermarket (OSM)"
9389,CRT Time of Use,56.44256,23.224416,-1,Commercial,Residential,Unresolved,CRT_review,Guessing,Al Jahli: no POI within 80 m
9778,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9779,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9780,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9781,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9782,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9783,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9784,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9785,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9786,CRT Seasonal,56.458512,23.216572,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9787,CRT Seasonal,56.45849,23.216694,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9788,CRT Seasonal,56.45849,23.216694,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
9790,CRT Seasonal,56.446459,23.221626,-1,CRT Seasonal,Residential,Government,government,Likely,chamber of commerce and industry oman [building=yes] 21m
10080,CRT Time of Use,56.487773,23.21571,-1,Commercial,Residential-Commercial,Commercial,non_domestic,Likely,New Al Yahar Yemeni Restaurant [amenity=restaurant] 6m
10214,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10215,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10216,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10217,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10218,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10219,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
