BID,NODE,CAUSE,CAUSE_PHY,CHAINED,DEPTH_M,MARGIN_M,LIFT_M,GROUND,RUN_M,RUN_N,GFALL_M,PFALL_M,GGRAD_PCT,PGRAD_PCT,RIDGE_M,RIDGE_D,DSFALL_M,DSDIST_M,MAXREACH,QADF_M3D,QPK_LS,PLOTS_UP,SUBNET,SREQ_PCT,SREQM_PCT,DN_REQ,DN_NOW,STRACT_PCT,REDUCIBLE,SLACK_M,SLACKMID_M,RED_FULL,SLACKFUL_M,FULL_M,FULL_N,RED_T11,SLACK_T11,UPSIZE_KM,DN_UP,LINK_PCT,AUTO_PCT,WADI_PCT,HAZ_COV,E_REASON,ARTFALL_M,EMPTY_KM,ALT_N,ALT_DZ_M,LOWFLOW,HEAD,CHAIN_RT,CHAIN_POS,RED_SEQ,SLACKSEQ,RED_SEQT11,BLOCKER,FIX
11,185,B,B,0,30.24,18.24,28.64,327.68,4642.7,9,-5.43,23.21,-0.1169,0.5,11.26,3053.8,2.36,2165.4,2376.8,818.5,0.95,582,5,0.1071,0.1071,700,200,0.4669,0,-16.65,-16.65,0,-16.65,4642.7,9,1,0.89,4.643,250,0.0,30.3,0.0,56.3,-,0.0,4.643,0,0.0,1,18733,185,0,0,-16.65,1,TRACTIVE,NO SEWER / RETHINK
12,191,E,E,0,12.1,0.1,10.5,329.81,2400.1,15,1.5,12.0,0.0624,0.5,0.32,747.3,2.57,1247.4,478.1,48.9,2.25,63,5,0.4957,0.4015,250,200,0.4669,1,0.72,-0.6,1,0.72,2400.1,15,1,3.79,2.4,250,0.0,6.5,75.5,92.2,WADI,0.0,0.78,0,0.0,1,20165,191,0,1,0.72,1,-,DELETE CORRIDOR
13,193,E,E,0,12.86,0.86,11.26,329.66,1526.6,4,-3.63,7.63,-0.2375,0.5,4.12,1405.3,2.42,1619.7,1334.2,2.2,0.04,5,5,0.4437,0.4437,250,200,0.4669,0,-0.3,-0.3,0,-0.3,1526.6,4,1,5.03,1.527,250,0.0,87.7,91.8,100.0,WADI,0.0,1.527,0,0.0,1,18725,193,0,0,-0.3,1,TRACTIVE,DELETE CORRIDOR
14,227,B,B,0,14.38,2.38,12.78,325.54,2232.9,8,-1.62,11.16,-0.0725,0.5,1.81,979.9,0.22,2398.7,623.3,381.8,13.57,354,5,0.3933,0.3793,250,200,0.4669,1,3.56,3.16,1,3.56,2232.9,8,1,6.09,2.233,250,0.0,22.4,0.0,42.2,-,0.0,0.5,0,0.0,0,19212,227,0,1,3.56,1,-,UPSIZE
15,290,E,E,0,12.08,0.08,10.48,334.67,3256.4,12,5.8,16.28,0.1782,0.5,1.21,998.6,2.0,1280.6,1456.2,118.9,3.36,126,1,0.4976,0.4976,250,200,0.4669,1,3.39,3.23,1,3.39,3256.4,12,1,8.6,3.256,250,0.0,0.0,74.4,80.7,WADI,0.0,0.291,0,0.0,1,9599,290,0,1,3.39,1,-,DELETE CORRIDOR
16,491,C,C,0,12.55,0.55,10.95,337.9,1389.3,12,-7.04,3.91,-0.507,0.2812,7.22,1364.9,9.69,1733.0,274.9,3519.2,84.02,3212,5,0.2416,0.1938,400,600,0.4669,1,0.8,0.06,1,0.8,1389.3,12,1,1.72,0.98,400,0.0,0.0,31.4,64.8,-,0.0,0.244,0,0.0,0,10917,491,0,1,0.8,1,-,UPSIZE
17,547,E,E,0,13.93,1.93,12.33,345.48,1425.8,5,-5.2,7.13,-0.3647,0.5,5.59,1237.4,0.0,0.0,657.9,796.0,0.41,837,1,0.3647,0.2535,315,200,0.4669,0,-1.41,-2.9,0,-1.41,1425.8,5,1,3.53,1.426,250,0.0,0.0,76.5,79.7,WADI,0.0,1.426,0,0.0,1,489,547,0,0,-1.41,1,TRACTIVE,DELETE CORRIDOR
18,659,B,B,0,12.3,0.3,10.7,331.83,1582.9,16,-2.96,7.75,-0.1867,0.4893,2.96,1582.9,0.88,1694.1,261.4,850.2,19.75,789,5,0.4703,0.4703,250,250,0.4669,1,3.15,2.0,1,3.15,1582.9,16,1,4.95,1.447,250,0.0,16.5,0.0,47.4,-,0.0,0.265,1,1.31,0,18737,659,0,1,3.15,1,-,UPSIZE
19,735,C,C,0,13.07,1.07,11.47,331.82,1560.5,7,-3.67,7.8,-0.2353,0.5,3.71,1539.1,8.09,1599.7,1036.3,279.3,3.68,262,5,0.4312,0.4312,250,200,0.4669,1,1.68,1.68,1,1.68,1560.5,7,1,4.96,1.56,250,0.0,0.0,4.0,36.2,-,0.0,0.086,1,1.4,1,11577,735,0,1,1.68,1,-,UPSIZE
20,1035,B,B,0,15.35,3.35,13.75,318.59,1689.0,5,-5.3,8.44,-0.3141,0.5,5.5,1668.6,0.11,20.6,1159.2,4.0,0.05,5,5,0.3017,0.3017,315,200,0.4669,0,-2.74,-2.74,0,-2.74,1689.0,5,1,3.23,1.689,250,0.0,68.9,0.0,44.4,-,0.0,1.689,0,0.0,1,19210,1035,0,0,-2.74,1,TRACTIVE,NO SEWER / RETHINK
21,1110,E,E,0,12.88,0.88,11.28,350.11,775.7,10,-7.4,3.88,-0.9544,0.5,7.41,771.7,4.45,946.9,189.2,91.3,3.68,129,1,0.3863,0.1768,250,200,0.4669,0,-0.19,-1.75,0,-0.19,775.7,10,1,1.81,0.776,250,0.0,0.5,70.0,76.9,WADI,0.0,0.305,0,0.0,1,22294,1110,0,0,-0.19,1,TRACTIVE,DELETE CORRIDOR
22,1186,E,E,0,12.39,0.39,10.79,347.16,982.5,8,-5.88,4.91,-0.5983,0.5,6.69,850.1,2.86,1115.7,362.9,14.6,0.53,23,1,0.4602,0.4602,250,200,0.4669,0,-0.02,-0.02,0,-0.02,982.5,8,1,3.18,0.983,250,0.0,71.4,100.0,100.0,WADI,0.0,0.983,0,0.0,1,20206,1186,0,0,-0.02,1,TRACTIVE,DELETE CORRIDOR
23,1192,B,B,0,14.84,2.84,13.24,321.89,1894.8,2,-3.77,9.47,-0.1988,0.5,4.83,1713.4,0.1,125.0,1894.8,0.0,0.0,0,5,0.3501,0.3501,315,200,0.4669,0,-2.16,-2.16,0,-2.16,1894.8,2,1,4.61,1.895,250,0.0,0.0,2.1,51.6,-,0.0,1.895,0,0.0,1,1193,1192,0,0,-2.16,1,TRACTIVE,NO SEWER / RETHINK
24,1211,C,C,0,12.71,0.71,11.11,338.17,1205.4,13,-5.08,6.03,-0.4215,0.5,5.08,1205.4,3.61,1376.2,189.5,308.9,9.29,256,5,0.4413,0.4413,250,200,0.4669,1,1.49,1.49,1,1.49,1205.4,13,1,3.82,1.205,250,0.0,0.0,0.0,48.8,-,0.0,0.282,1,1.13,0,11364,1211,0,1,1.49,1,-,UPSIZE
25,1321,C,C,0,14.2,2.2,12.6,352.61,2378.0,23,-4.36,8.24,-0.1835,0.3464,5.39,2193.9,6.95,658.7,255.7,1395.6,42.26,1432,1,0.2539,0.2539,400,400,0.4669,1,0.78,0.78,1,0.78,2378.0,23,1,3.65,1.672,400,0.0,8.8,0.0,23.0,-,0.0,0.209,2,3.74,0,22080,1321,0,1,0.78,1,-,UPSIZE
26,1451,A,A,0,12.37,0.37,10.77,356.23,2452.5,17,1.5,12.26,0.061,0.5,0.49,172.2,4.92,1713.8,378.9,327.8,11.67,329,1,0.485,0.485,250,200,0.4669,1,0.9,0.26,1,0.9,2452.5,17,1,3.25,2.453,250,0.0,70.3,22.6,62.0,-,0.0,1.365,0,0.0,0,22175,1451,0,1,0.9,1,-,UPSIZE
27,1640,E,E,0,12.13,0.13,10.53,350.16,1455.1,31,-5.24,5.29,-0.3602,0.3636,5.87,1142.1,5.85,1500.3,202.9,1635.5,47.85,1816,1,0.3545,0.3545,315,500,0.4669,1,0.72,0.63,1,0.72,1455.1,31,1,3.47,0.851,250,10.0,39.7,78.1,84.2,WADI,0.0,0.567,0,0.0,0,31807,1640,0,1,0.72,1,-,DELETE CORRIDOR
28,1741,B,B,0,57.09,45.09,55.49,331.01,6373.2,11,-23.63,31.87,-0.3707,0.5,24.17,6075.1,0.0,0.0,6095.2,9.8,0.24,11,45,-0.2075,-0.2075,0,200,0.4669,0,-42.93,-42.93,0,-42.93,6373.2,11,0,-18.61,6.373,250,2.8,4.4,0.0,35.5,-,0.0,6.373,0,0.0,1,25257,1741,0,0,-42.93,0,GROUND,STATION
29,3183,B,B,0,14.89,2.89,13.29,336.15,1895.4,9,-7.41,5.88,-0.391,0.3101,7.41,1895.4,0.0,0.0,1043.5,1856.5,54.01,765,123,0.1577,0.1577,500,500,0.4669,0,-1.34,-1.34,0,-1.34,1895.4,9,1,0.97,0.852,500,0.0,0.0,0.0,11.8,-,0.0,0.414,0,0.0,0,3339,3183,0,0,-1.34,1,TRACTIVE,STATION
30,2433,D,B,1,12.08,0.08,10.48,342.82,2465.2,21,-6.66,3.82,-0.2702,0.155,6.66,2465.2,0.45,1522.0,396.8,2250.2,64.24,1090,15,0.1516,0.1516,600,500,0.0891,1,1.08,1.08,0,-10.16,4360.7,29,0,-7.54,2.465,600,0.0,0.0,2.0,53.1,-,0.0,0.0,0,0.0,0,3183,3183,1,1,1.08,0,-,UPSIZE
31,3199,B,B,0,14.94,2.94,13.34,334.6,1060.7,7,-8.62,4.72,-0.8127,0.4447,8.62,1060.7,0.61,1278.8,395.1,606.3,19.63,190,44,0.1679,0.1679,500,250,0.4669,0,-1.23,-1.23,0,-1.23,1060.7,7,1,0.38,1.061,500,0.0,0.0,0.0,29.5,-,0.0,0.114,0,0.0,0,13298,3199,0,0,-1.23,1,TRACTIVE,STATION
32,3252,B,B,0,12.55,0.55,10.95,345.17,1309.0,18,-4.4,6.54,-0.3363,0.5,4.4,1309.0,0.0,0.0,254.9,216.8,7.47,191,4,0.4582,0.4582,250,200,0.4669,1,1.66,1.66,1,1.66,1309.0,18,1,4.42,1.309,250,0.0,0.0,0.0,97.4,-,0.0,0.255,1,1.08,0,12378,3252,0,1,1.66,1,-,UPSIZE
33,3287,B,B,0,12.39,0.39,10.79,347.48,1447.3,15,-6.36,4.43,-0.4394,0.306,6.39,1425.3,0.0,0.0,249.5,3649.8,89.86,2673,4,0.2791,0.2791,315,600,0.4669,1,0.73,0.73,1,0.73,1447.3,15,1,2.35,0.698,315,0.0,0.0,0.0,66.7,-,0.0,0.177,0,0.0,0,12233,3287,0,1,0.73,1,-,UPSIZE
34,3393,B,B,0,13.66,1.66,12.06,349.05,1717.2,17,-4.87,7.19,-0.2838,0.4188,5.24,1576.3,0.0,0.0,241.2,903.3,25.84,886,4,0.3218,0.2672,315,315,0.4669,1,1.06,0.01,1,1.06,1717.2,17,1,3.64,1.338,315,0.0,0.0,0.0,59.0,-,0.0,0.238,1,2.1,0,12486,3393,0,1,1.06,1,-,UPSIZE
35,3447,A,A,0,13.6,1.6,12.0,336.57,6389.5,27,5.85,17.84,0.0915,0.2793,3.51,2821.2,0.0,0.0,1024.6,2641.9,72.12,1925,4,0.2543,0.2543,400,500,0.4669,1,4.07,4.02,1,4.07,6389.5,27,1,5.15,3.274,400,0.0,0.0,0.0,50.5,-,0.0,0.26,0,0.0,0,12931,3447,0,1,4.07,1,-,UPSIZE
36,4508,C,C,0,12.12,0.12,10.52,337.73,2145.4,32,0.2,10.73,0.0094,0.5,1.36,1473.1,3.88,1251.9,486.9,347.5,11.87,271,4,0.4942,0.4942,250,200,0.4669,1,3.43,3.33,1,3.43,2145.4,32,1,7.0,2.145,250,5.4,30.4,0.0,53.8,-,0.0,0.039,2,1.37,0,25945,4508,0,1,3.43,1,-,UPSIZE
37,5601,C,C,0,20.52,8.52,18.92,375.22,2870.8,21,-4.57,14.35,-0.1591,0.5,7.15,1619.8,8.96,1983.9,999.6,725.0,5.69,681,-1,0.2032,0.2032,500,200,0.4669,0,-4.42,-4.42,0,-4.42,2870.8,21,1,3.08,2.871,400,12.3,43.6,0.0,65.2,-,0.0,1.091,0,0.0,0,35569,5601,0,0,-4.42,1,TRACTIVE,STATION
38,6322,C,C,0,12.57,0.57,10.97,374.71,299.0,3,-9.47,1.49,-3.1679,0.5,9.47,299.0,8.32,1496.0,189.6,13.5,0.44,16,4,0.3105,0.3105,315,200,0.4669,0,-0.42,-0.42,0,-0.42,299.0,3,1,0.1,0.299,250,0.0,0.0,0.0,0.0,-,0.0,0.299,0,0.0,1,6286,6322,0,0,-0.42,1,TRACTIVE,NO SEWER / RETHINK
39,6642,C,C,0,13.52,1.52,11.92,382.45,494.5,3,-9.44,2.47,-1.9098,0.5,9.44,494.5,23.59,1625.8,362.0,75.5,1.65,48,4,0.1932,0.0772,500,200,0.4669,0,-1.23,-1.62,0,-1.23,494.5,3,0,-0.02,0.495,250,0.0,0.0,0.0,13.6,-,0.0,0.133,0,0.0,1,6497,6642,0,0,-1.23,0,GROUND,STATION
40,7070,C,C,0,12.64,0.64,11.04,350.17,800.6,9,-7.03,4.0,-0.8785,0.5,7.55,694.0,15.27,1601.3,163.4,214.3,6.83,172,4,0.4206,0.4206,250,200,0.4669,1,0.66,0.66,1,0.66,800.6,9,1,2.17,0.801,250,0.0,0.0,0.0,26.7,-,0.0,0.208,0,0.0,0,12863,7070,0,1,0.66,1,-,UPSIZE
41,7167,C,C,0,12.4,0.4,10.8,374.32,1085.7,8,-5.37,5.43,-0.4946,0.5,5.37,1085.7,5.05,1534.4,327.9,208.3,7.2,200,10,0.4633,0.4633,250,200,0.4669,1,1.3,1.3,1,1.3,1085.7,8,1,3.62,1.086,250,0.0,0.0,0.0,66.7,-,0.0,0.415,0,0.0,0,15134,7167,0,1,1.3,1,-,UPSIZE
42,7195,C,C,0,12.28,0.28,10.68,387.61,2426.8,25,-0.07,10.6,-0.0029,0.437,1.41,288.3,4.32,1574.4,365.5,1845.8,52.91,1545,6,0.4256,0.4256,250,500,0.4669,1,3.07,3.07,1,3.07,2426.8,25,1,5.8,1.984,250,0.0,0.0,0.0,76.1,-,0.0,0.15,2,4.38,0,17265,7195,0,1,3.07,1,-,UPSIZE
43,7274,B,B,0,12.02,0.02,10.42,377.91,4070.7,35,-0.28,10.13,-0.0069,0.249,3.27,1347.6,1.26,835.1,371.9,2364.1,66.12,2222,9,0.2485,0.2485,400,500,0.4669,1,4.65,4.65,1,4.65,4070.7,35,1,6.46,1.905,400,0.0,0.0,0.0,77.1,-,0.0,0.0,1,1.09,0,17427,7274,0,1,4.65,1,-,UPSIZE
44,7343,A,A,0,12.29,0.29,10.69,375.54,4349.4,21,6.63,17.32,0.1525,0.3983,0.38,78.0,0.9,973.8,736.8,1032.9,31.89,1033,9,0.3916,0.3916,250,315,0.4669,1,4.39,4.29,1,4.39,4349.4,21,1,7.53,1.361,250,0.0,0.0,0.0,71.7,-,0.0,0.272,0,0.0,0,17322,7343,0,1,4.39,1,-,UPSIZE
45,7487,B,B,0,12.66,0.66,11.06,336.53,836.0,4,-6.88,4.18,-0.8225,0.5,6.88,836.0,0.0,0.0,419.7,282.9,0.06,271,4,0.4216,0.4216,250,200,0.4669,0,-0.33,-0.33,0,-0.33,836.0,4,1,2.3,0.836,250,0.0,0.0,0.0,5.6,-,0.0,0.836,0,0.0,1,12841,7487,0,0,-0.33,1,TRACTIVE,NO SEWER / RETHINK
46,12831,D,C,1,13.22,1.22,11.62,342.76,1284.9,3,-6.23,5.39,-0.485,0.4193,6.23,1284.9,3.5,2151.9,830.0,466.0,15.55,428,4,0.3244,0.3244,315,250,0.193,1,1.77,1.77,0,-8.76,2120.9,6,0,-4.9,1.285,315,0.0,0.0,0.0,50.8,-,0.0,0.0,0,0.0,0,7487,7487,1,1,1.77,0,-,UPSIZE
47,7500,E,E,0,14.72,2.72,13.12,375.66,1671.8,10,-4.76,8.36,-0.2846,0.5,4.76,1671.8,6.95,2011.9,555.9,152.6,5.26,140,64,0.3375,0.3375,315,200,0.4669,1,0.28,0.28,1,0.28,1671.8,10,1,3.79,1.672,315,0.0,0.0,56.2,94.1,WADI,0.0,0.272,0,0.0,0,14410,7500,0,1,0.28,1,-,DELETE CORRIDOR
48,7608,B,B,0,15.32,3.32,13.72,384.67,1700.4,8,-5.21,8.5,-0.3067,0.5,5.31,1679.9,0.0,0.0,738.0,410.0,11.37,280,23,0.3049,0.3049,315,200,0.4669,1,0.42,0.42,1,0.42,1700.4,8,1,3.31,1.7,315,0.0,0.0,0.0,56.0,-,0.0,0.33,0,0.0,0,17467,7608,0,1,0.42,1,-,UPSIZE
49,7753,D,C,1,12.67,0.67,11.07,389.3,1467.7,14,-4.64,6.43,-0.3159,0.4384,4.64,1467.7,6.82,1620.8,223.2,646.2,19.89,504,23,0.3927,0.3927,250,250,0.1653,1,3.26,3.26,0,-6.52,3168.1,21,0,-2.43,0.744,250,0.0,0.0,0.0,45.5,-,0.0,0.0,0,0.0,0,7608,7608,1,0,-6.52,0,GROUND,STATION
50,7731,C,C,0,12.17,0.17,10.57,383.03,2130.1,13,0.08,10.65,0.0036,0.5,1.41,48.6,4.56,1475.8,801.9,13144.0,10.06,12193,47,0.4919,0.4919,250,200,0.4669,1,1.42,1.08,1,1.42,2130.1,13,1,5.04,2.13,250,0.0,0.0,15.1,80.2,-,0.0,1.09,0,0.0,0,7507,7731,0,1,1.42,1,-,UPSIZE
51,7791,C,C,0,13.0,1.0,11.4,381.68,1680.4,12,-2.99,8.4,-0.1782,0.5,2.99,1680.4,8.63,2346.2,586.3,112.0,4.4,105,47,0.4407,0.4407,250,200,0.4669,1,1.47,1.47,1,1.47,1680.4,12,1,5.55,1.68,250,0.0,0.0,36.8,55.9,-,0.0,0.415,0,0.0,1,7463,7791,0,1,1.47,1,-,UPSIZE
52,7845,B,B,0,25.86,13.86,24.26,385.58,4459.4,4,-1.97,22.3,-0.0441,0.5,4.46,1525.7,0.92,282.1,3934.7,6.9,0.32,3,23,0.1891,-0.2049,500,200,0.4669,0,-12.33,-16.11,0,-12.33,4459.4,4,1,4.49,4.459,250,0.0,11.7,6.9,46.4,-,0.0,4.459,0,0.0,1,19436,7845,0,0,-12.33,1,TRACTIVE,NO SEWER / RETHINK
53,7864,B,B,0,18.97,6.97,17.37,381.8,1764.5,34,-8.55,8.82,-0.4845,0.5,8.7,1354.2,4.27,594.8,454.3,1291.0,3.92,1068,0,0.1049,0.1049,700,200,0.4669,0,-5.25,-5.25,0,-5.25,1764.5,34,0,-0.07,1.764,315,14.3,64.5,0.0,34.8,-,0.0,0.974,0,0.0,1,30503,7864,0,0,-5.25,0,GROUND,STATION
54,7877,B,B,0,12.46,0.46,10.86,377.36,1228.7,6,-4.72,6.14,-0.3839,0.5,4.72,1228.7,0.0,0.0,444.0,20.5,0.37,13,0,0.4625,0.4625,250,200,0.4669,0,-0.0,-0.0,0,-0.0,1228.7,6,1,4.16,1.229,250,0.0,0.0,0.0,25.9,-,0.0,1.229,0,0.0,1,7552,7877,0,0,-0.0,1,TRACTIVE,NO SEWER / RETHINK
55,7939,C,C,0,13.22,1.22,11.62,391.44,1263.0,7,-5.3,6.31,-0.4198,0.5,5.3,1263.0,8.96,2127.1,559.8,94.1,3.27,89,23,0.4036,0.4036,250,200,0.4669,1,0.28,0.28,1,0.28,1263.0,7,1,3.55,1.263,250,0.0,0.0,0.0,68.5,-,0.0,0.05,2,1.43,1,18155,7939,0,1,0.28,1,-,UPSIZE
56,8055,C,C,0,12.34,0.34,10.74,411.9,1092.9,7,-5.28,5.46,-0.4827,0.5,5.28,1092.9,3.4,1500.8,352.2,492.1,14.4,448,35,0.4689,0.4689,250,200,0.4669,1,1.85,1.85,1,1.85,1092.9,7,1,3.71,1.093,250,0.0,88.5,0.0,25.0,-,0.0,0.241,1,5.18,0,18994,8055,0,1,1.85,1,-,UPSIZE
57,8063,B,B,0,15.92,3.92,14.32,316.65,2802.5,4,-0.31,14.01,-0.0111,0.5,3.66,1379.3,1.04,1139.5,1663.8,10.4,0.1,14,1,0.36,0.36,315,200,0.4669,0,-2.94,-2.94,0,-2.94,2802.5,4,1,7.39,2.803,250,0.0,0.0,4.1,72.1,-,0.0,2.803,0,0.0,1,0,8063,0,0,-2.94,1,TRACTIVE,NO SEWER / RETHINK
58,15,D,B,1,12.27,0.27,10.67,318.05,1855.1,9,-1.4,9.28,-0.0754,0.5,2.44,715.5,0.83,469.8,551.7,73.7,3.28,94,1,0.4852,0.4852,250,200,0.4669,1,1.94,1.94,0,-11.46,4657.6,12,1,4.6,1.855,250,0.0,0.0,0.0,71.2,-,0.0,0.492,0,0.0,1,8063,8063,1,1,1.94,1,-,UPSIZE
59,56,D,B,1,25.07,13.07,23.47,326.55,2995.5,4,-8.5,14.98,-0.2837,0.5,9.32,2525.7,0.0,0.0,1993.4,73.7,3.7,94,1,0.0635,0.0635,0,200,0.309,0,-7.35,-7.35,0,-29.19,7653.1,15,0,-6.15,2.996,315,0.0,0.0,0.0,80.0,-,0.0,0.0,0,0.0,1,15,8063,2,0,-15.79,0,GROUND,STATION
60,132,D,B,1,18.67,6.67,17.07,336.52,1419.8,3,-9.97,7.1,-0.7022,0.5,9.97,1419.8,0.51,790.8,736.3,76.9,3.92,99,1,0.0303,0.0303,0,200,0.3055,0,-3.88,-3.88,0,-43.46,9072.9,17,0,-17.18,1.42,315,0.0,0.0,0.0,42.6,-,0.0,0.0,0,0.0,1,56,8063,3,0,-3.88,0,GROUND,STATION
61,8094,B,B,0,14.71,2.71,13.11,323.84,1533.6,6,-5.44,7.67,-0.3546,0.5,5.44,1533.6,0.0,0.0,652.0,14.4,0.32,19,5,0.3235,0.3235,315,200,0.4669,0,-2.15,-2.15,0,-2.15,1533.6,6,1,3.21,1.534,250,0.0,17.6,0.0,28.6,-,0.0,1.534,0,0.0,1,20280,8094,0,0,-2.15,1,TRACTIVE,NO SEWER / RETHINK
62,790,D,B,1,12.37,0.37,10.77,325.8,1761.0,4,-1.96,8.8,-0.1115,0.5,1.96,1761.0,0.0,0.0,646.3,85.7,1.86,79,5,0.4791,0.4097,250,200,0.4669,1,0.65,-0.55,0,-11.94,3294.6,9,0,-1.17,1.761,250,0.0,0.0,0.0,63.9,-,0.0,0.646,0,0.0,1,8094,8094,1,1,0.65,0,-,UPSIZE
63,250,D,C,1,14.21,2.21,12.61,327.35,2212.4,2,-1.55,11.06,-0.0701,0.5,1.55,2212.4,3.62,761.2,2212.4,364.9,3.96,341,5,0.4,0.3563,250,200,0.2984,1,2.23,1.15,0,-20.1,5507.0,10,0,-3.28,2.212,250,0.0,0.0,2.2,41.3,-,0.0,0.0,0,0.0,1,790,8094,2,0,-7.5,1,GROUND,STATION
64,8100,A,A,0,13.19,1.19,11.59,324.96,3493.2,33,5.88,17.47,0.1683,0.5,0.0,0.0,0.23,42.0,1728.2,17.2,0.87,12,5,0.466,0.4559,250,200,0.4669,1,0.02,-0.31,1,0.02,3493.2,33,1,6.24,3.493,250,7.5,35.8,0.0,71.0,-,0.0,3.493,0,0.0,1,25369,8100,0,1,0.02,1,-,UPSIZE
