NODE_UID,NODE_REF,X,Y,TIER,NODE_KIND,INLET_DEG,INLET_EDGE,OUT_EDGE,N_IN,BAND,REMEDY
N0000418,P0-TM-MH0418,465445.874,2566142.453,trunk main,junction,35.53,E0005667,E0000390,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0003383,P0-L-MH3383,445821.916,2562297.793,lateral,chamber,35.87,E0003001,E0003002,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0015253,P0-TM-MH15253,459118.222,2578176.813,trunk main,junction,36.0,E0016174,E0014511,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0013452,P0-TM-MH13452,458990.475,2578288.992,trunk main,junction,36.1,E0014577,E0012710,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0027354,P0-M-MH27354,446665.352,2563244.946,main,junction,36.98,E0028153,E0026612,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0022776,P0-SM-MH22776,458511.319,2567340.681,sub main,junction,37.11,E0023805,E0022034,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0001452,P0-L-MH1452,451575.103,2564569.268,lateral,chamber,37.3,E0001308,E0001309,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0034660,P0-L-MH34660,451090.537,2572325.959,lateral,chamber,38.34,E0033917,E0033918,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0025112,P0-SM-MH25112,450947.748,2563348.797,sub main,junction,39.29,E0026199,E0024370,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0033571,P0-M-MH33571,468241.334,2576794.207,main,chamber,39.54,E0034407,E0032829,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0001625,P0-M-MH1625,441838.084,2574070.275,main,chamber,40.1,E0006510,E0001471,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0048641,P0-M-MH48641,445326.699,2568934.786,main,junction,40.13,E0048037,E0047899,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000289,P0-TM-MH0289,461544.132,2578832.301,trunk main,junction,40.34,E0005470,E0000272,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0014686,P0-SM-MH14686,449445.992,2571566.042,sub main,junction,41.19,E0015730,E0013944,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0023370,P0-M-MH23370,463933.759,2567400.43,main,junction,41.24,E0024491,E0022628,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0039015,P0-M-MH39015,469280.833,2575238.107,main,junction,41.8,E0039447,E0038273,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0013791,P0-M-MH13791,451136.007,2567493.613,main,chamber,42.07,E0014730,E0013049,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0037191,P0-SM-MH37191,462554.056,2568986.6,sub main,junction,42.13,E0037664,E0036449,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0011317,P0-L-MH11317,447481.837,2557435.324,lateral,chamber,42.37,E0010574,E0010575,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0001771,P0-L-MH1771,471608.579,2563274.22,lateral,chamber,42.68,E0001610,E0001611,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0020741,P0-L-MH20741,461232.986,2568750.812,lateral,chamber,42.74,E0021870,E0019999,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0048118,P0-SM-MH48118,446094.663,2568594.644,sub main,junction,43.04,E0047453,E0047376,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0032154,P0-SM-MH32154,460796.562,2577714.018,sub main,junction,43.79,E0033231,E0031412,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0030049,P0-M-MH30049,461289.03,2581289.011,main,junction,44.2,E0030959,E0029307,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0027941,P0-SM-MH27941,459624.6,2570764.079,sub main,chamber,44.64,E0027198,E0027199,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0037849,P0-L-MH37849,447286.376,2565745.459,lateral,junction,44.76,E0038308,E0037107,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0014666,P0-M-MH14666,456043.614,2567003.338,main,junction,45.0,E0015698,E0013924,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0015658,P0-M-MH15658,449524.669,2569718.088,main,junction,46.11,E0016428,E0014916,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0031368,P0-L-MH31368,452905.197,2574790.695,lateral,chamber,46.11,E0030625,E0030626,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0029429,P0-SM-MH29429,458622.331,2570862.714,sub main,junction,46.45,E0030437,E0028687,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0009571,P0-M-MH9571,452827.722,2573523.85,main,junction,46.92,E0010613,E0008829,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000460,P0-TM-MH0460,449912.466,2568736.816,trunk main,junction,47.48,E0005367,E0000426,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0008793,P0-L-MH8793,454091.626,2574203.685,lateral,junction,47.67,E0009977,E0008051,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0042137,P0-L-MH42137,460280.739,2578958.546,lateral,junction,47.77,E0042145,E0041395,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0045940,P0-M-MH45940,463147.898,2570301.201,main,chamber,48.15,E0045197,E0045198,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
