check,kind,id,value,unit,cause
R4,reach,E0000241,92.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000242,60.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000243,50.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000244,9.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000267,72.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000268,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000269,80.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000334,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000335,55.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000348,18.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000349,19.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000399,27.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000400,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000401,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000402,110.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000413,18.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000414,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000415,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000416,36.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000426,60.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000427,36.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000430,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000431,46.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000432,92.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000433,20.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000436,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000437,110.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000438,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000440,46.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000441,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000442,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000443,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000463,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000464,110.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000465,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000466,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000467,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000468,80.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000470,18.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000471,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
H1/R3,reach,E0000472,120.0,m in the 6 m dual band,"INPUT alignment - no pipe may run along a dual carriageway (project rule 7); a crossing is scheduled, a run along one is not a crossing"
R4,reach,E0000472,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
H1/R3,reach,E0000473,150.0,m in the 6 m dual band,"INPUT alignment - no pipe may run along a dual carriageway (project rule 7); a crossing is scheduled, a run along one is not a crossing"
R4,reach,E0000473,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
H1/R3,reach,E0000474,58.6,m in the 6 m dual band,"INPUT alignment - no pipe may run along a dual carriageway (project rule 7); a crossing is scheduled, a run along one is not a crossing"
R4,reach,E0000474,121.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000475,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000476,56.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000477,70.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000479,70.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000480,36.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000481,36.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000482,74.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000483,67.6,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000484,75.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000485,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000486,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000487,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000488,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000489,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000490,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000491,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000492,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000493,42.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000494,75.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000495,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000496,112.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000497,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000498,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000499,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000500,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000501,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000502,150.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000503,62.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000519,50.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000520,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000521,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000522,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000523,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000524,72.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000528,60.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000529,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000530,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000531,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000532,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000533,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000556,20.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000557,81.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000558,80.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000559,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000560,9.1,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000561,54.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000562,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000563,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000564,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000565,18.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000571,18.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000594,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000595,36.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000596,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000597,90.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000598,90.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000599,40.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000602,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000603,40.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000604,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000605,54.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000609,81.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000610,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000611,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000612,54.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000613,54.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000614,36.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000617,60.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000618,80.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000635,18.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000636,46.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000642,48.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000643,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000644,120.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000645,9.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000652,70.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000653,55.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000654,83.1,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000655,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000656,73.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000657,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000658,9.2,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000659,50.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000694,18.5,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000717,55.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000718,64.6,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000727,20.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000730,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000731,90.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000732,50.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000733,50.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000734,18.8,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000749,80.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000750,56.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000751,84.4,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000752,40.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000753,70.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000754,18.9,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
H11(intent),chamber,N0000041,0.115,m the outlet invert sits ABOVE the arriving invert,"the outgoing reach is a smaller diameter than the arriving one, so _level's soffit-to-soffit seat steps the invert UP and ponds the upstream reach. audit.h11 checks fall WITHIN a reach only and cannot see it. The cure is a floor in _seat, which changes levels - raised, not taken"
H11(intent),chamber,N0000049,0.065,m the outlet invert sits ABOVE the arriving invert,"the outgoing reach is a smaller diameter than the arriving one, so _level's soffit-to-soffit seat steps the invert UP and ponds the upstream reach. audit.h11 checks fall WITHIN a reach only and cannot see it. The cure is a floor in _seat, which changes levels - raised, not taken"
H1,chamber,N0000062,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
H1,chamber,N0000066,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
H1,chamber,N0000068,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
H1,chamber,N0000072,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
H11(intent),chamber,N0000073,0.065,m the outlet invert sits ABOVE the arriving invert,"the outgoing reach is a smaller diameter than the arriving one, so _level's soffit-to-soffit seat steps the invert UP and ponds the upstream reach. audit.h11 checks fall WITHIN a reach only and cannot see it. The cure is a floor in _seat, which changes levels - raised, not taken"
H1,chamber,N0000076,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
H1,chamber,N0000080,1.0,chamber on wadi ground,"INPUT alignment - H1 forbids a CHAMBER in a wadi as well as a pipe (G203-p33, project rule 8). audit.h1 tests only the dual band and audit.r4 only pipe midpoints, so a chamber in the 50-year band is reported here or nowhere"
