Plot,Connection,Chamber,Served by,Status,Properties,Qadf (m3/d),Length (m),Gradient (%),Cover (m),Package
1104415,C0000021,N0030115,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,12.938067,1.0,0.6,P413
1104414,C0000022,N0030115,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,23.876001,1.0,0.6,P413
1104417,C0000023,N0030115,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,23.397572,1.0,0.6,P413
1104418,C0000024,N0030116,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,27.541198,1.0,0.6,P413
1104419,C0000025,N0030092,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,7.642327,1.0,0.6,P413
1105408,C0000026,N0030091,central,"assigned; LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.0,0.741608,3.308562,1.0,0.6,P413
1104426,C0000027,N0030091,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,14.532454,1.0,0.6,P413
1104425,C0000028,N0030091,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,31.311437,1.0,0.6,P413
1104431,C0000029,N0029550,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,11.427233,1.0,0.6,P413
1104430,C0000030,N0029550,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.271253,1.0,0.6,P413
1104433,C0000031,N0029525,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,16.375759,1.0,0.6,P397
1118253,C0000032,N0028918,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,35.151856,1.0,0.6,P413
1104448,C0000033,N0028918,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,43.02476,1.0,0.6,P413
1104435,C0000034,N0028918,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,39.244102,1.0,0.6,P413
1104437,C0000035,N0027781,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,4.125244,1.0,0.6,P413
1104436,C0000036,N0027781,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,6.929092,1.0,0.6,P413
1104438,C0000037,N0030095,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,7.389803,1.0,0.6,P397
1116328,C0000038,N0028919,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,37.312919,1.0,0.6,P413
1105310,C0000039,N0028919,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,36.867938,1.0,0.6,P413
1104440,C0000040,N0028919,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,31.506594,1.0,0.6,P413
1104460,C0000041,N0029512,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,16.946099,1.0,0.6,P397
1104441,C0000042,N0029512,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,0.684724,1.0,0.6,P397
1105314,C0000043,N0031209,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,24.231054,1.0,0.6,P397
1104442,C0000044,N0031209,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,36.816908,1.0,0.6,P397
1104450,C0000045,N0028920,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,43.609617,1.0,0.6,P413
1104452,C0000046,N0029523,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,17.819236,1.0,0.6,P397
1104451,C0000047,N0029523,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,18.037889,1.0,0.6,P397
1105318,C0000048,N0030094,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,0.773214,1.0,0.6,P397
1104453,C0000049,N0030094,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,14.133001,1.0,0.6,P397
1104454,C0000050,N0030638,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,3.367419,1.0,0.6,P397
1104455,C0000051,N0031207,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,8.282303,1.0,0.6,P397
1104457,C0000052,N0031811,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,5.18537,1.0,0.6,P397
1104456,C0000053,N0031811,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,23.758886,1.0,0.6,P397
1104458,C0000054,N0028362,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,0.586887,1.0,0.6,P397
1104459,C0000055,N0028364,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",5.89,3.578518,12.747042,1.0,0.6,P397
1110474,C0000056,N0030658,central,"assigned; LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,17.792891,1.0,0.6,P413
1104464,C0000057,N0030658,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,7.168275,1.0,0.6,P413
1104514,C0000058,N0030143,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,15.070901,1.0,0.6,P413
1104465,C0000059,N0030143,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.53,5.096378,8.115931,1.0,0.6,P413
1104466,C0000060,N0026086,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,22.313788,1.0,0.6,P397
1104471,C0000061,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,16.314761,1.0,0.6,P413
1110462,C0000062,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,24.252694,1.0,0.6,P413
1110453,C0000063,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,10.839492,1.0,0.6,P413
1117020,C0000064,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,7.197123,1.0,0.6,P413
1110468,C0000065,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,31.509664,1.0,0.6,P413
1110452,C0000066,N0031812,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,19.120824,1.0,0.6,P413
1110473,C0000067,N0030658,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,10.747516,1.0,0.6,P413
1104472,C0000068,N0030658,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,13.584552,1.0,0.6,P413
1104474,C0000069,N0030133,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,19.173755,1.0,0.6,P413
1104473,C0000070,N0030133,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,19.809932,1.0,0.6,P413
1104491,C0000071,N0029546,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,8.687257,1.0,0.6,P413
1104476,C0000072,N0029546,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,10.783364,1.0,0.6,P413
1104475,C0000073,N0029546,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,8.782718,1.0,0.6,P413
1104492,C0000074,N0029546,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.217524,1.0,0.6,P413
1104477,C0000075,N0029546,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,14.705659,1.0,0.6,P413
1104493,C0000076,N0029547,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,12.710542,1.0,0.6,P413
1104478,C0000077,N0029547,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,9.609419,1.0,0.6,P413
1104494,C0000078,N0029547,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,5.390794,1.0,0.6,P413
1104479,C0000079,N0029547,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,9.974897,1.0,0.6,P413
1104556,C0000080,N0029549,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,18.240875,1.0,0.6,P413
1104482,C0000081,N0029549,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,9.505366,1.0,0.6,P413
1104511,C0000082,N0030142,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,41.47181,1.0,0.6,P413
1104484,C0000083,N0030142,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,8.765991,1.0,0.6,P413
1104483,C0000084,N0030142,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.592467,1.0,0.6,P413
1104515,C0000085,N0030143,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,18.127947,1.0,0.6,P413
1104513,C0000086,N0030143,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,32.965107,1.0,0.6,P413
1104485,C0000087,N0030143,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.884721,1.0,0.6,P413
1104512,C0000088,N0030142,central,"assigned; LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,36.775518,1.0,0.6,P413
1104486,C0000089,N0030142,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,13.650575,1.0,0.6,P413
1104487,C0000090,N0030144,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.994614,1.0,0.6,P413
1104490,C0000091,N0030144,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,20.536748,1.0,0.6,P413
1104489,C0000092,N0030144,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,11.293587,1.0,0.6,P413
1104488,C0000093,N0030144,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,8.026603,1.0,0.6,P413
1104495,C0000094,N0029548,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,23.904643,1.0,0.6,P413
1104502,C0000095,N0030113,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,10.470693,1.0,0.6,P413
1104503,C0000096,N0030113,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,12.67203,1.0,0.6,P413
1104506,C0000097,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,24.573588,1.0,0.6,P413
1104505,C0000098,N0030141,central,"assigned; LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,24.43733,1.0,0.6,P413
1104504,C0000099,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,21.027618,1.0,0.6,P413
1104510,C0000100,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,28.321428,1.0,0.6,P413
1104508,C0000101,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,25.86267,1.0,0.6,P413
1104507,C0000102,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,24.19238,1.0,0.6,P413
1105329,C0000103,N0030141,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,16.300566,1.0,0.6,P413
1104516,C0000104,N0033930,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,2.672604,1.0,0.6,P413
1104517,C0000105,N0033932,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,4.104461,1.0,0.6,P413
1119474,C0000106,N0033924,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",4.434,2.498736,25.754556,1.0,0.6,P397
1104519,C0000107,N0033924,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,13.431428,1.0,0.6,P397
1104518,C0000108,N0033924,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,16.121651,1.0,0.6,P397
1104522,C0000109,N0033419,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,24.102101,1.0,0.6,P413
1104521,C0000110,N0033419,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,8.09794,1.0,0.6,P413
1104520,C0000111,N0033419,central,"assigned; capped stub-out at the frontage, plot not yet built (G203-p19 3.4); LEVELS PENDING - gradient is the G203-p18 Tab 5 minimum, not a solve, and the arrival at the chamber is unchecked",1.456,1.079781,6.906427,1.0,0.6,P413
