SET_ID,W10_SID,NAME,TOWN,SYSTEM,WORKS,ALT_SYS,BOTH,DEC_RULE,WHY,M_PER_PRP,M_PER_M3D,BREAK_M,MARGIN_M,EXCL_KM,N_PLOT,N_PROP,POP,Q_ADF_M3D,N_OUTBND,KM_CORE,KM_BUILT,REMOTE,PKG_OK,MARG_KM,LIFT_M,N_LIFT,PENDING,CONFIDENCE,STAGE
S140,140,AL JIBAYYAH,AL JIBAYYAH,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.238,12.842,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S163,163,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.176,18.57,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S061,61,AD DIBAYSHI,AD DIBAYSHI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.125,0.0,1,0,0.0,0.0,0,,derived,S1
S062,62,AD DIBAYSHI,AD DIBAYSHI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.159,0.331,1,0,0.0,0.0,0,,derived,S1
S052,52,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,1.316,3.784,1,0,0.0,0.0,0,,derived,S1
S050,50,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 2 properties",0.0,0.0,20.0,-20.0,0.0,2,2.0,10.64,1.483,0,0.879,1.339,1,0,0.0,0.0,0,,derived,S1
S060,60,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 3 properties",0.0,0.0,20.0,-20.0,0.0,3,3.0,15.96,2.225,0,0.172,0.866,1,0,0.0,0.0,0,,derived,S1
S049,49,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,1.021,3.074,1,0,0.0,0.0,0,,derived,S1
S045,45,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,3,1.456,7.746,1.08,0,0.135,2.354,1,0,0.0,0.0,0,,derived,S1
S059,59,TANAM,TANAM,central,central STP,satellite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a package plant for 11 properties",0.0,0.0,20.0,-20.0,0.0,11,11.0,58.52,8.158,0,0.674,3.166,1,1,0.0,0.0,0,,derived,S1
S057,57,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,1.58,4.06,1,0,0.0,0.0,0,,derived,S1
S058,58,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 4 properties",0.0,0.0,20.0,-20.0,0.0,4,4.0,21.28,2.966,0,0.949,3.442,1,0,0.0,0.0,0,,derived,S1
S103,103,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.465,3.404,1,0,0.0,0.0,0,,derived,S1
S102,102,AL SULAIF,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.3,2.853,1,0,0.0,0.0,0,,derived,S1
S096,96,AL SULAIF,AD DIBAYSHI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,5,1.456,7.746,1.08,0,0.779,3.055,1,0,0.935,0.0,0,,derived,S1
S099,99,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.445,3.144,1,0,0.0,0.0,0,,derived,S1
S100,100,IBRI,IBRI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.131,0.254,1,0,0.0,0.0,0,,derived,S1
S066,66,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.699,3.119,1,0,0.0,0.0,0,,derived,S1
S065,65,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.868,3.32,1,0,0.0,0.0,0,,derived,S1
S078,78,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 2 properties",0.0,0.0,20.0,-20.0,0.0,2,2.0,10.64,1.483,0,0.133,1.528,1,0,0.082,0.0,0,,derived,S1
S076,76,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.262,1.839,1,0,0.0,0.0,0,,derived,S1
S027,27,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,6.87,13.856,1,0,0.0,0.0,0,,derived,S1
S051,51,TANAM,TANAM,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,1.458,3.892,1,0,0.0,0.0,0,,derived,S1
S022,22,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,2.661,9.668,1,0,0.0,0.0,0,,derived,S1
S017,17,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 3 properties",0.0,0.0,20.0,-20.0,0.0,2,2.912,15.492,2.16,0,0.158,3.773,1,0,0.0,0.0,0,,derived,S1
S029,29,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,2.884,3.263,1,0,0.0,0.0,0,,derived,S1
S031,31,AL JAHLI,AL JAHLI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 4 properties",0.0,0.0,20.0,-20.0,0.0,3,4.368,23.238,3.239,0,0.191,3.412,1,0,0.0,0.0,0,,derived,S1
S013,13,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,1.986,1.92,1,0,0.0,0.0,0,,derived,S1
S010,10,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 9 properties",0.0,0.0,20.0,-20.0,0.0,9,9.0,47.88,6.674,0,2.133,2.061,1,0,0.0,0.0,0,,derived,S1
S007,7,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,1,2.95,3.82,1,0,0.0,0.0,0,,derived,S1
S006,6,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,1,3.359,5.414,1,0,0.0,0.0,0,,derived,S1
S003,3,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 3 properties",0.0,0.0,20.0,-20.0,0.0,3,3.0,15.96,2.225,3,3.809,3.757,1,0,0.0,0.0,0,,derived,S1
S000,0,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 3 properties",0.0,0.0,20.0,-20.0,0.0,3,3.0,15.96,2.225,0,3.197,3.632,1,0,0.0,0.0,0,,derived,S1
S124,124,AL DIREZ,SATWAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,1.725,10.232,1,0,0.0,0.0,0,,derived,S1
S122,122,AL JIBAYYAH,AL JIBAYYAH,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 2 properties",0.0,0.0,20.0,-20.0,0.0,2,2.0,10.64,1.483,0,0.129,5.042,1,0,0.0,0.0,0,,derived,S1
S115,115,AL ARAQI,AL ARAQI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 4 properties",0.0,0.0,20.0,-20.0,0.0,3,4.368,23.238,3.239,0,0.423,6.699,1,0,0.0,0.0,0,,derived,S1
S107,107,WADI AL LETHEALAH,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.122,0.499,1,0,0.0,0.0,0,,derived,S1
S105,105,IBRI,IBRI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 4 properties",0.0,0.0,20.0,-20.0,0.0,2,4.434,0.0,2.499,0,0.441,2.248,1,0,0.0,0.0,0,,derived,S1
S101,101,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.493,3.468,1,0,0.0,0.0,0,,derived,S1
S119,119,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.607,7.142,1,0,0.0,0.0,0,,derived,S1
S112,112,-,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 3 properties",0.0,0.0,20.0,-20.0,0.0,2,2.912,15.492,2.16,0,0.284,0.89,1,0,0.0,0.0,0,,derived,S1
S121,121,AL DIREZ,,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,1,1.107,9.756,1,0,0.0,0.0,0,,derived,S1
S126,126,AL ARAQI,AL ARAQI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.456,7.746,1.08,0,0.382,6.267,1,0,0.0,0.0,0,,derived,S1
S091,91,AD DIBAYSHI,AD DIBAYSHI,central,central STP,onsite,0,COST,"0.0 m of exclusive sewer per property, under the measured 20 m break - cheaper to connect than to run a septic/tanker service for 1 properties",0.0,0.0,20.0,-20.0,0.0,1,1.0,5.32,0.742,0,0.212,1.241,1,0,0.0,0.0,0,,derived,S1
