CH_REQ,REACH,STATION_M,X,Y,N_PLOTS,Q_ADF_M3D,MAX_LEG_M,OFFSET_MED_M,WHY,ROW_QUESTION
R00011,E0002209,18.29,454990.935,2574918.565,1,1.08,42.0,44.5,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00012,E0003462,38.86,455561.612,2574551.247,1,1.08,43.09,45.59,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00013,E0003463,23.86,455494.426,2574584.577,1,1.08,43.71,46.21,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00014,E0003463,51.86,455469.344,2574597.021,1,1.08,43.94,46.44,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00015,E0003465,31.86,455402.158,2574630.351,1,1.08,44.56,47.06,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00016,E0003468,54.0,455167.321,2574746.852,1,1.08,39.08,41.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00017,E0003998,48.91,443757.898,2567890.216,1,1.483,44.78,47.28,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00018,E0003998,71.89,443761.457,2567912.922,1,1.483,43.91,46.41,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00019,E0004100,56.2,455555.373,2574745.433,1,2.499,32.33,34.83,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 35 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00020,E0004111,66.4,456022.859,2574558.082,1,1.08,43.99,46.49,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00021,E0004566,57.81,442057.688,2568704.52,1,1.08,42.51,45.01,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00022,E0004698,5.08,447204.063,2558284.968,1,0.742,44.97,47.47,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00023,E0004700,28.83,447148.524,2558282.503,1,0.742,37.69,40.19,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 40 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00024,E0004718,60.55,457700.355,2577903.229,2,2.16,43.08,42.77,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00025,E0004719,60.32,457770.65,2577959.059,1,1.08,42.12,44.62,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00026,E0004932,41.43,470634.527,2564768.189,1,1.08,43.08,45.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00027,E0005066,12.92,441937.916,2568468.996,1,1.08,40.24,42.74,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00028,E0005242,35.4,445797.441,2559843.192,1,0.742,44.1,46.6,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00029,E0005243,39.81,445836.088,2559773.817,1,0.742,43.11,45.61,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00030,E0005610,46.94,458198.032,2578272.272,1,1.08,41.85,44.35,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00031,E0005898,43.4,439724.386,2571421.863,2,3.579,40.46,37.96,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00032,E0006049,69.3,458247.82,2578307.666,1,1.08,44.48,46.98,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00033,E0006332,15.06,443172.314,2568021.166,1,3.579,42.98,45.48,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00034,E0006407,54.84,443882.606,2566142.309,1,5.096,42.32,44.82,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00035,E0006525,22.03,458142.842,2578434.099,1,1.08,42.79,45.29,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00036,E0006531,49.08,458572.606,2578234.273,1,1.08,43.45,45.95,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00037,E0006532,53.61,458524.269,2578303.623,1,1.08,44.96,47.46,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00038,E0006543,48.24,459016.245,2578863.213,1,2.499,40.98,43.48,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00039,E0006837,39.68,441250.559,2568460.023,1,1.08,43.28,45.78,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00040,E0006860,56.61,442788.761,2567959.649,1,3.579,42.08,44.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00041,E0006861,54.61,442830.572,2568025.497,1,3.579,42.06,44.56,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00042,E0006866,5.12,444447.107,2566471.349,2,1.821,43.41,42.17,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00043,E0006866,30.19,444425.531,2566458.591,1,1.08,42.72,45.22,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00044,E0006866,55.94,444403.366,2566445.485,1,1.08,42.71,45.21,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00045,E0006867,58.18,444332.566,2566403.623,1,1.08,42.7,45.2,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00046,E0006879,13.64,443768.896,2566074.551,1,1.08,43.61,46.11,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00047,E0007223,42.58,446254.628,2562581.174,1,1.08,43.52,46.02,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00048,E0007852,47.84,458886.071,2578509.306,1,1.08,43.36,45.86,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00049,E0008377,19.78,447424.924,2567026.892,2,1.483,44.42,41.05,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 41 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00050,E0008391,22.64,446754.885,2564144.61,1,1.08,42.92,45.42,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00051,E0008444,43.72,446557.009,2566988.329,1,1.08,40.02,42.52,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00052,E0008554,40.2,443986.066,2565650.253,1,1.08,35.25,37.75,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00053,E0008557,41.38,443413.692,2565562.109,1,1.08,8.05,10.55,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 11 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00054,E0008564,15.53,443885.064,2565466.232,1,1.08,36.97,39.47,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 39 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00055,E0008575,40.41,443541.395,2565520.726,2,2.16,41.91,31.41,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 31 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00056,E0008918,39.28,446032.422,2562441.54,1,1.08,41.39,43.89,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00057,E0008921,14.03,446141.572,2562298.682,1,1.08,44.38,46.88,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00058,E0009012,9.78,445280.435,2566738.207,1,3.579,41.73,44.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00059,E0009057,23.9,444065.157,2560109.132,1,0.742,35.79,38.29,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00060,E0009274,51.87,458653.258,2578414.242,1,1.08,42.44,44.94,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00061,E0009505,40.73,446073.505,2566536.103,1,1.08,12.89,15.39,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 15 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00062,E0009548,12.49,444941.96,2566763.199,1,1.08,43.81,46.31,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00063,E0009548,38.19,444955.05,2566741.086,1,1.08,41.18,43.68,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00064,E0009802,64.38,459959.37,2579393.034,1,1.08,42.76,45.26,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00065,E0009803,49.38,460022.19,2579434.004,1,1.08,42.73,45.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00066,E0009946,27.88,446774.851,2564568.689,1,1.08,42.08,44.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00067,E0010175,36.19,442440.225,2565286.185,1,0.742,40.01,42.51,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00068,E0010440,31.74,465788.81,2567237.017,1,1.08,41.41,43.91,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00069,E0010441,18.77,465742.388,2567203.903,1,1.08,41.56,44.06,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00070,E0010511,23.93,446889.174,2564404.353,1,1.08,42.04,44.54,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00071,E0010511,48.92,446887.399,2564429.283,1,1.08,41.42,43.92,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00072,E0010515,7.67,447325.363,2563941.792,1,1.08,40.61,43.11,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00073,E0010522,27.64,447189.858,2563797.513,1,1.08,43.73,46.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00074,E0010632,9.32,444851.501,2566293.403,1,1.08,41.77,44.27,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00075,E0010885,14.74,460303.076,2579620.862,1,1.08,39.53,42.03,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00076,E0011093,31.72,445253.507,2566236.377,1,1.08,16.26,18.76,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 19 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00077,E0011167,23.17,446450.368,2559805.3,1,0.742,43.38,45.88,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00078,E0011258,38.62,451271.405,2564627.684,1,1.08,42.72,45.22,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
