NODE_UID,NODE_REF,X,Y,TIER,NODE_KIND,INLET_DEG,INLET_EDGE,OUT_EDGE,N_IN,BAND,REMEDY
N0000315,P0-L-MH0315,446042.121,2566457.292,lateral,junction,88.86,E0000365,E0000314,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000132,P0-L-MH0132,444831.93,2565790.694,lateral,chamber,88.9,E0000184,E0000131,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000135,P0-L-MH0135,445120.759,2565726.181,lateral,chamber,88.9,E0000189,E0000134,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000261,P0-L-MH0261,444867.926,2566555.801,lateral,chamber,88.93,E0000330,E0000260,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000363,P0-L-MH0363,446142.953,2566278.901,lateral,junction,88.95,E0000429,E0000362,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000563,P0-L-MH0563,446682.651,2566777.728,lateral,junction,88.97,E0000624,E0000562,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000116,P0-L-MH0116,445166.899,2566553.163,lateral,chamber,89.03,E0000173,E0000115,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000058,P0-SM-MH0058,445319.064,2565905.688,sub main,chamber,89.06,E0000081,E0000057,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000091,P0-L-MH0091,444830.78,2565884.875,lateral,junction,89.14,E0000133,E0000090,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000033,P0-TM-MH0033,445219.042,2566294.652,trunk main,junction,89.2,E0000053,E0000032,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000095,P0-L-MH0095,445020.975,2565791.659,lateral,chamber,89.23,E0000135,E0000094,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000435,P0-L-MH0435,446194.828,2566200.765,lateral,chamber,89.24,E0000487,E0000434,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000097,P0-SM-MH0097,445258.696,2565805.107,sub main,junction,89.26,E0000137,E0000096,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000723,P0-L-MH0723,446805.145,2566488.076,lateral,chamber,89.27,E0000764,E0000722,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000212,P0-L-MH0212,445861.152,2565780.498,lateral,chamber,89.28,E0000259,E0000211,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000241,P0-L-MH0241,445147.184,2565643.548,lateral,junction,89.31,E0000306,E0000240,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000088,P0-L-MH0088,445395.737,2566518.81,lateral,chamber,89.34,E0000119,E0000087,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000115,P0-L-MH0115,445060.308,2566563.412,lateral,junction,89.35,E0000170,E0000114,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000420,P0-L-MH0420,445200.023,2565350.836,lateral,junction,89.36,E0000470,E0000419,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000216,P0-L-MH0216,444780.805,2566240.334,lateral,chamber,89.39,E0000214,E0000215,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000408,P0-L-MH0408,446184.743,2566541.676,lateral,chamber,89.41,E0000465,E0000407,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000167,P0-L-MH0167,444856.198,2566285.355,lateral,junction,89.42,E0000219,E0000166,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000108,P0-L-MH0108,444928.993,2566328.826,lateral,junction,89.44,E0000169,E0000107,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000406,P0-SM-MH0406,446131.421,2566834.122,sub main,junction,89.46,E0000463,E0000405,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000533,P0-L-MH0533,446513.416,2566279.864,lateral,junction,89.46,E0000600,E0000532,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000479,P0-L-MH0479,446419.767,2566442.103,lateral,junction,89.46,E0000535,E0000478,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000001,P0-TM-MH0001,445313.559,2566134.836,trunk main,junction,89.47,E0000025,E0000001,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000342,P0-SM-MH0342,446044.239,2566782.278,sub main,junction,89.5,E0000412,E0000341,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000098,P0-L-MH0098,445576.062,2566059.999,lateral,chamber,89.52,E0000145,E0000097,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000139,P0-L-MH0139,445315.321,2565709.016,lateral,junction,89.55,E0000194,E0000138,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000504,P0-L-MH0504,446345.766,2567080.461,lateral,junction,89.56,E0000551,E0000503,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000463,P0-L-MH0463,446173.781,2566761.354,lateral,chamber,89.56,E0000461,E0000462,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000513,P0-L-MH0513,446385.542,2566661.447,lateral,junction,89.58,E0000561,E0000512,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000766,P0-L-MH0766,446509.117,2565271.032,lateral,chamber,89.61,E0000789,E0000765,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000371,P0-L-MH0371,446132.957,2565941.428,lateral,chamber,89.62,E0000437,E0000370,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000066,P0-SM-MH0066,445128.694,2566448.079,sub main,junction,89.65,E0000083,E0000065,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000258,P0-L-MH0258,445945.107,2566054.675,lateral,junction,89.7,E0000322,E0000257,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000714,P0-L-MH0714,446779.697,2567059.124,lateral,junction,89.71,E0000758,E0000713,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000625,P0-L-MH0625,446683.062,2566865.47,lateral,junction,89.71,E0000674,E0000624,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000302,P0-L-MH0302,445071.872,2565619.297,lateral,chamber,89.73,E0000350,E0000301,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000083,P0-SM-MH0083,445612.256,2566204.478,sub main,junction,89.76,E0000106,E0000082,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000561,P0-L-MH0561,446439.43,2566569.452,lateral,chamber,89.77,E0000623,E0000560,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000221,P0-L-MH0221,444814.48,2566524.86,lateral,chamber,89.77,E0000260,E0000220,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000154,P0-SM-MH0154,445796.302,2566312.058,sub main,junction,89.81,E0000207,E0000153,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000339,P0-L-MH0339,445201.185,2566933.056,lateral,junction,89.82,E0000399,E0000338,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000367,P0-L-MH0367,445932.333,2566271.348,lateral,junction,89.83,E0000433,E0000366,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000028,P0-L-MH0028,445048.736,2566082.76,lateral,junction,89.86,E0000048,E0000027,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000027,P0-TM-MH0027,445360.101,2566056.139,trunk main,junction,89.86,E0000037,E0000026,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000290,P0-L-MH0290,444811.942,2565439.273,lateral,junction,89.89,E0000344,E0000289,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000176,P0-L-MH0176,445474.043,2566616.454,lateral,chamber,89.9,E0000233,E0000175,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000298,P0-L-MH0298,444900.601,2565439.332,lateral,chamber,89.91,E0000346,E0000297,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000157,P0-L-MH0157,445813.719,2566074.421,lateral,chamber,89.91,E0000210,E0000156,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000239,P0-L-MH0239,444811.291,2565708.625,lateral,junction,89.92,E0000294,E0000238,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000649,P0-L-MH0649,446614.305,2565673.91,lateral,junction,89.92,E0000695,E0000648,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000240,P0-L-MH0240,444900.755,2565619.297,lateral,junction,89.95,E0000300,E0000239,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000103,P0-SM-MH0103,445705.446,2566259.144,sub main,junction,89.97,E0000160,E0000102,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000497,P0-L-MH0497,446455.163,2566031.586,lateral,chamber,89.98,E0000543,E0000496,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000414,P0-L-MH0414,445901.546,2566485.629,lateral,junction,89.99,E0000467,E0000413,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
